R|0abbr|RSC|RSC-1|NNXX@|NNNXX-----@----|N|B|t|(referree_stopped_contest)
R|hd2x|blahobyt|blahobyt|0|0|N|0|0|0
R|i1|blahopřej|blahopřát|0|0|V|0|0|0
R|i1|poblahopřej|poblahopřát|0|0|V|0|0|0
R|iten|blahořeč|blahořečit|0|0|T|0|0|0
R|iten|blaž|blažit|0|0|T|0|0|0
R|i|oblastn|oblastní|0|0|A|0|0|0
R|jev|blahodárn|blahodárně|0|0|D|0|0|(*1ý)
R|jev|blažen|blaženě|0|0|D|0|0|(*3it)
R|kt1n|blaženost|blaženost|0|0|N|0|0|(*5it)
R|kt1n|oblačnost|oblačnost|0|0|N|0|0|(*3ý)
R|kt1|oblast|oblast|0|0|N|0|0|0
R|md|blahopřáv|blahopřát|0|0|W|0|0|0
R|md|poblahopřáv|poblahopřát|0|0|W|0|0|0
R|mt7|blah|blaho|0|0|N|0|0|0
R|mtp|blat|blata|0|0|N|0|0|0
R|mts|oblačn|oblačno-1|0|0|N|0|0|(v_1._p._řídké)
R|p2|blahopřej|blahopřát|0|0|V|0|0|0
R|p2|poblahopřej|poblahopřát|0|0|V|0|0|0
R|pd1|Koblas|Koblasa|0|0|N|S|0|0
R|pd1|Čabl|Čabla|0|0|N|S|0|0
R|ps1|Lubla|Lublaň|0|0|N|G|0|0
R|ps5|blamáž|blamáž|0|0|N|0|0|0
R|r|blahopřál|blahopřát|0|0|V|0|0|0
R|r|poblahopřál|poblahopřát|0|0|V|0|0|0
R|s3|blahopřá|blahopřát|0|0|V|0|0|0
R|s3|poblahopřá|poblahopřát|0|0|V|0|0|0
R|sky|blanen|blanenský|0|0|A|0|0|0
R|sky|blaten|blatenský|0|0|A|0|0|0
R|sky|lublaň|lublaňský|0|0|A|0|0|0
R|stn|blahopřání|blahopřání|0|0|N|0|0|(*2t)
R|stn|blahoslavení|blahoslavení|0|0|N|0|0|(*3it)
R|yxi|blaz|blahý|0|0|A|0|0|0
R|yxx|blah|blahý|0|0|A|0|0|0
R|y|blahobytn|blahobytný|0|0|A|0|0|0
R|y|blahodárn|blahodárný|0|0|A|0|0|0
R|y|blahopřejn|blahopřejný|0|0|A|0|0|0
R|y|blahoslaven|blahoslavený|0|0|A|0|0|(*3it)
R|y|blažen|blažený|0|0|A|0|0|(*3it)
R|y|oblačn|oblačný|0|0|A|0|0|0
R|zn1|Ljubljan|Lublaň|0|0|N|G|0|0
